Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,41.900002,43.849998,41.709999,42.790001,37.832085,105724300
2015-10-26,42.759998,42.900002,42.209999,42.349998,37.443069,83406100
2015-11-02,42.320000,42.389999,41.610001,41.959999,37.098259,57985600
2015-11-09,41.700001,42.200001,41.340000,41.380001,36.585461,50571500
2015-11-16,41.430000,43.580002,41.389999,42.430000,37.513798,80822100
2015-11-23,42.549999,43.599998,42.529999,43.150002,38.150375,46686900
2015-11-30,43.119999,43.480000,42.320000,43.290001,38.567673,71306900
2015-12-07,43.310001,43.439999,42.139999,42.270000,37.658951,68509100
2015-12-14,42.310001,43.910000,41.970001,42.500000,37.863861,99158600
2015-12-21,42.820000,43.730000,42.459999,43.540001,38.790409,34854100
2015-12-28,43.439999,43.779999,42.869999,42.959999,38.273670,28906300
2016-01-04,42.340000,42.630001,41.410000,41.509998,36.981846,83320600
2016-01-11,41.580002,42.570000,40.930000,41.500000,36.972946,91665900
2016-01-18,41.770000,42.240002,40.750000,42.060001,37.471855,66163800
2016-01-25,42.240002,43.259998,41.810001,42.919998,38.238045,76770500
2016-02-01,42.599998,43.150002,42.259998,42.439999,37.810402,77118400
2016-02-08,42.169998,43.490002,41.900002,43.110001,38.407318,90885500
2016-02-15,43.320000,43.770000,43.020000,43.770000,38.995316,49028700
2016-02-22,43.770000,44.180000,43.110001,43.139999,38.434044,72051000
2016-02-29,43.169998,44.150002,42.919998,44.110001,39.298233,67090700
2016-03-07,43.910000,45.259998,43.810001,45.200001,40.269318,93100000
2016-03-14,45.040001,45.910000,44.549999,45.599998,40.942509,90212500
2016-03-21,45.419998,45.869999,45.189999,45.580002,40.924557,43711000
2016-03-28,45.560001,46.880001,45.509998,46.830002,42.046890,83096600
2016-04-04,46.840000,46.980000,46.160000,46.869999,42.082802,51700500
2016-04-11,46.900002,47.130001,45.680000,46.099998,41.391449,62963300
2016-04-18,46.099998,46.619999,42.869999,44.540001,39.990784,128657800
2016-04-25,44.500000,44.959999,44.250000,44.799999,40.224228,59093300
2016-05-02,44.570000,45.490002,44.509998,45.320000,40.691113,49713600
2016-05-09,45.320000,45.900002,45.169998,45.349998,40.718052,46681800
2016-05-16,45.160000,45.730000,43.939999,43.950001,39.461044,62968500
2016-05-23,44.070000,44.959999,43.939999,44.779999,40.206264,51996700
2016-05-30,44.980000,45.049999,44.259998,45.040001,40.439713,47980000
2016-06-06,45.090000,46.009998,45.080002,45.990002,41.292683,48438500
2016-06-13,45.480000,45.669998,44.380001,44.790001,40.215244,62382900
2016-06-20,45.090000,45.330002,43.820000,43.930000,39.745560,65029700
2016-06-27,43.669998,45.410000,43.320000,45.119999,40.822208,72396400
2016-07-04,45.160000,45.669998,44.919998,45.380001,41.057446,44109900
2016-07-11,45.349998,45.939999,45.110001,45.630001,41.283634,46947400
2016-07-18,45.689999,45.840000,45.259998,45.830002,41.464588,41078800
2016-07-25,45.810001,45.830002,43.099998,43.630001,39.474133,92023600
